question,choice1,choice2,choice3,choice4,choice5,answer,difficulty,topic,free,registered
Police power can be described as,The right of the government to take ownership of a property for public,The capacity of the state to enforce order for the betterment of health and safety of the public,The right of the police to exert control,The ability of the state to force order to protect itself,None of these,2,2,Land Use Regulation,,
The right of the government to take action to protect the public is known as,Eminent domain,Seizin,Police power,Escheat,Bipartisan action,3,2,Land Use Regulation,,
Which of the following is an example of the use of police power,Eminent domain,Seizin,Foreclosing,Exclusive agency,Bipartisan action,1,2,Land Use Regulation,,
Which of the following is an example of the use of police power,Zoning laws,Seizin,Defeasance,Escheat,Bipartisan action,1,2,Land Use Regulation,,
Which of the following is an example of the use of police power,Taxation,Seizin,Foreclosure,Escheat,Bipartisan action,1,2,Land Use Regulation,,
Which of the following is an example of the use of police power,Real estate license requirement,Seizin,Foreclosing,Umbrella insurance,Bipartisan action,1,2,Land Use Regulation,,
"In the context of finance, leverage is",Negotiating from a stronger position in a sale,When a landlord demands the tenant increase the security deposit,When a tenant demands the landlor reduce the security deposity,None of these,Use of borrowed capital to increase profits,5,2,Finance and Economics,,
The use of borrowed capital to potentially increase return on an investment is called,Debting,Lending Institution,Leverge,Buyout,Profit maximization,3,2,Finance and Economics,,
Buyer Morty is looking to increase his cash on cash returns by borrowing. This method of increasing potential returns is called,Leverage,Raising capital,Debt loading,Unloading debt,Balance sheet ramp up,1,2,Finance and Economics,,
An increase in buying power through borrowing is called,Leverage,Raising capital,Shareholder equity,Unloading debt,Value investing,1,2,Finance and Economics,,
An exclusive agency agreement means,"No matter if the broker or seller find a buyer, the broker will still get a commission",The broker gets a commission only if the broker finds a buyer and no commission if the seller finds a buyer,Any broker can find a buyer and get a commission,The broker will need to cobroke with the seller,The broker is guaranteed a comission regardless if there is a sale or not,2,2,Law of Agency,,
An exclusive agency agreement means,"No matter if the broker or seller find a buyer, the broker will still get a commission",None of these,Any broker can find a buyer and get a commission,The broker will need to cobroke with the seller,The broker is guaranteed a comission regardless if there is a sale or not,2,2,Law of Agency,,
An exclusive right to sell means,"No matter if the broker or seller find a buyer, the broker will still get a commission",The broker gets a commission only if the broker finds a buyer and no commission if the seller finds a buyer,Any broker can find a buyer and get a commission,The broker will need to cobroke with the seller,The broker is guaranteed a comission regardless if there is a sale or not,2,2,Law of Agency,,
An exclusive right to sell means,"No matter if the broker or seller find a buyer, the broker will still get a commission",None of these,Any broker can find a buyer and get a commission,The broker will need to cobroke with the seller,The broker is guaranteed a comission regardless if there is a sale or not,2,2,Law of Agency,1,1
Broker Valentine signs an exclusive right to sell agreement with seller Orlando for 90 days. Three weeks into the agreement Orlando tells Valentine he's found a buyer and has closed. Is Valentine owed a commission?,"No, the agreement doesn't guarantee a commission","No, the agreement doesn't stipulate Valentine should be paid if seller finds a buyer","No, you snooze you lose","Yes, an exclusive right to sell guarantees a commission","Yes, an exclusive right to sell means Valentine gets a commission even if seller finds a buyer",5,2,Law of Agency,,
Broker Valentine signs an exclusive right to sell agreement with seller Orlando for 90 days. Three weeks into the agreement Orlando tells Valentine he's found a buyer and has closed. Is Valentine owed a commission?,"No, the agreement doesn't guarantee a commission","No, the agreement doesn't stipulate Valentine should be paid if seller finds a buyer","No, you snooze you lose","Yes, an exclusive right to sell guarantees a commission",None of these,5,2,Law of Agency,,
Broker Oscar signs an exclusive agency agreement with seller Anita for 30 days. Two weeks into the agreement Anita tells Oscar she's found a buyer and has closed. Is Oscar owed a commission?,"No, the agreement doesn't guarantee a commission","No, the agreement doesn't stipulate Oscar should be paid if seller finds a buyer","No, the agent owes the buyer a commission","Yes, an exclusive right to sell guarantees a commission","Yes, an exclusive agency means Oscar gets a commission even if seller finds a buyer",2,2,Law of Agency,,
Broker Oscar signs an exclusive agency agreement with seller Anita for 30 days. Two weeks into the agreement Anita tells Oscar she's found a buyer and has closed. Is Oscar owed a commission?,"No, the agreement doesn't guarantee a commission",None of these,"No, the agent owes the buyer a commission","Yes, an exclusive right to sell guarantees a commission","Yes, an exclusive agency means Oscar gets a commission even if seller finds a buyer",2,2,Law of Agency,,
Agent Tina signs an open listing agreement with seller Tomasz. Tina spends $600 to advertise Tomasz's property. Tomasz later informs her he sold the property. Tina is owed,A commission,Nothing,$600 for her expenses,An apology,Half of the commission for effort,2,2,Law of Agency,,
Broker Ortiz signs an exclusive right to sell agreement with seller Orlando for 60 days. Three weeks into the agreement Orlando tells Ortiz  he's found a buyer and has closed. Is Ortiz owed a commission?,"No, the agreement doesn't guarantee a commission","No, the agreement doesn't stipulate Ortiz should be paid if seller finds a buyer","No, you snooze you lose","Yes, an exclusive right to sell guarantees a commission","Yes, an exclusive right to sell means Ortiz  gets a commission even if seller finds a buyer",5,2,Law of Agency,,
Broker Ortiz signs an exclusive right to sell agreement with seller Orlando for 60 days. Three weeks into the agreement Orlando tells Ortiz  he's found a buyer and has closed. Is Ortiz owed a commission?,"No, the agreement doesn't guarantee a commission","No, the agreement doesn't stipulate Ortiz should be paid if seller finds a buyer","No, you snooze you lose","Yes, an exclusive right to sell guarantees a commission",None of these,5,2,Law of Agency,,
Broker Nina signs an exclusive agency agreement with seller Mariachi for 30 days. Two weeks into the agreement Mariachi tells Nina he's found a buyer and has closed. Is Nina owed a commission?,"No, the agreement doesn't guarantee a commission","No, the agreement doesn't stipulate Nina should be paid if seller finds a buyer","No, the agent owes the buyer a commission","Yes, an exclusive right to sell guarantees a commission","Yes, an exclusive agency means Nina gets a commission even if seller finds a buyer",2,2,Law of Agency,,
Broker Nina signs an exclusive agency agreement with seller Mariachi for 30 days. Two weeks into the agreement Mariachi tells Nina he's found a buyer and has closed. Is Nina owed a commission?,"No, the agreement doesn't guarantee a commission",None of these,"No, the agent owes the buyer a commission","Yes, an exclusive right to sell guarantees a commission","Yes, an exclusive agency means Nina gets a commission even if seller finds a buyer",2,2,Law of Agency,,
"Superstar broker Lorber signs an open listing agreement with seller Wanda's for her luxury condo. Lorber spends $5,000 to advertise Wanda's property. Wanda later informs him she sold the property. Lorber is owed",A commission,Nothing,"$5,000 for his expenses",An apology,Half of the commission for effort,2,2,Law of Agency,,
"All things holding constant, a real estate agent prefers which of the following type of listing agreement",Exclusive agency,Exclusive right to sell,Open listing,Properties in exclusive neighborhoods,Any of these,2,2,Law of Agency,,
"All things holding constant, a real estate agent would LEAST prefer which of the following type of listing agreement",Exclusive agency,Exclusive right to sell,Open listing,Properties in exclusive neighborhoods,Rental listing,3,2,Law of Agency,,
An exclusive right to sell listing agreement is advantageous to a seller because,The agent will feel safe enough to make an investment in marketing the listing,The seller can avoid paying a commission,The seller can sell it on his own and not pay a commission,"The seller can cancel the agreement at anytime, unlike any other agreement types",The seller can sell the property and co-broke with the agent,1,2,Law of Agency,,
Listing agreements are enforceable if signed by the seller and the,Salesperson,Subagent,Attorney,Broker,Notary Public,4,2,Law of Agency,1,1
Taxes that are ad valorem are,Proportionate to the transaction concerned,Flat rate,Adjustable rate,Disproportionate to the transaction concerned,Equal to the transaction concerned,1,2,Taxes and Assessments,,
Real estate taxes are levied by which government agency?,State,Federal,Judicial,City,Commerce board,4,1,Taxes and Assessments,,
Taxes that are proportionate to the amount of the transaction are called,Graduated,Escalated,Ad valorem,Duty,VAT,3,2,Taxes and Assessments,,
Real estate tax rates are set by which government agency?,State,Federal,Judicial,City,Commerce board,4,1,Taxes and Assessments,,
A city's tax levy is,The amount of money the city needs to collect from property taxes,The city's use of borrowing to improve tax profits,A taxation to protect coastlines,The property tax rate,The amount each property owner will have to pay,1,2,Taxes and Assessments,,
The total amount a city needs to collect through property tax is called,Tax sum,Tax levy,Gross tax,Projected gross tax income,EBITDA,2,2,Taxes and Assessments,,
The tax rate is divided by which of the following to compute the tax rate?,Population,Number of houses,Total value of real estate,Number of total bedrooms,360 days,3,2,Taxes and Assessments,,
The tax rate is divided by which of the following to compute the tax rate?,Population,Number of houses,None of these,Number of total bedrooms,360 days,3,2,Taxes and Assessments,,
The general formula to determine the property tax rate is,Tax levy divided by total value of real estate,Total tax levy divided by population,Tax levy multiplied by the interest rate,Total value of real estate divided by tax levy,Tax levy multiplied by the total value of real estate,1,3,Taxes and Assessments,,
The property tax rate multiplied by the total value of real estate equals to,12,365,360,Interest rate,Tax levy,5,3,Taxes and Assessments,,
The property tax rate multiplied by the total value of real estate equals to,12,365,360,Interest rate,None of these,5,3,Taxes and Assessments,,
The property tax assessment rate is,Used to discount the market value of a property prior to assessing property tax due,Used to discount the market value of construction  prior to assessing property tax due,Used to discount the tax rate prior to assessing property tax due,Used to add a premium to the tax rate prior to assessing property tax due,Used to evaluate the quality of a property prior to assessing property tax due,1,3,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 30%. The rate is",Used to discount the market value of a property prior to assessing property tax due,Used to discount the market value of construction  prior to assessing property tax due,Used to discount the tax rate prior to assessing property tax due,Used to add a premium to the tax rate prior to assessing property tax due,Used to evaluate the quality of a property prior to assessing property tax due,1,3,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 30%. A property with market value of $100,000 would be discounted by how much?","$130,000 ","$30,000 ","$100,000 ","$70,000 ",None of these,4,2,Taxes and Assessments,1,1
"For the purposes of calculating property tax, a city established the assessment rate at 40%. A property with market value of $100,000 would be discounted by how much?","$140,000 ","$40,000 ","$100,000 ","$60,000 ",None of these,4,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 28%. A property with market value of $100,000 would be discounted by how much?","$128,000 ","$28,000 ","$100,000 ","$72,000 ",None of these,4,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 50%. A property with market value of $100,000 would be discounted by how much?","$150,000 ","$50,000 ","$100,000 ","$50,000 ",None of these,4,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 90%. A property with market value of $100,000 would be discounted by how much?","$190,000 ","$90,000 ","$100,000 ","$10,000 ",None of these,4,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 70%. A property with market value of $100,000 would be discounted by how much?","$170,000 ","$70,000 ","$100,000 ","$30,000 ",None of these,4,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 75%. A property with market value of $100,000 would be discounted by how much?","$175,000 ","$75,000 ","$100,000 ","$25,000 ",None of these,4,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 30%. A property with market value of $100,000 the assessed value would be?","$130,000 ","$30,000 ","$100,000 ","$70,000 ",None of these,2,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 40%. A property with market value of $100,000 the assessed value would be?","$140,000 ","$40,000 ","$100,000 ","$60,000 ",None of these,2,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 28%. A property with market value of $100,000 the assessed value would be?","$128,000 ","$28,000 ","$100,000 ","$72,000 ",None of these,2,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 50%. A property with market value of $100,000 the assessed value would be?","$150,000 ","$50,000 ","$100,000 ","$50,000 ",None of these,2,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 90%. A property with market value of $100,000 the assessed value would be?","$190,000 ","$90,000 ","$100,000 ","$10,000 ",None of these,2,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 70%. A property with market value of $100,000 the assessed value would be?","$170,000 ","$70,000 ","$100,000 ","$30,000 ",None of these,2,2,Taxes and Assessments,,
"For the purposes of calculating property tax, a city established the assessment rate at 75%. A property with market value of $100,000 the assessed value would be?","$175,000 ","$75,000 ","$100,000 ","$25,000 ",None of these,2,2,Taxes and Assessments,,
"The city sets a tax rate of 5% and an assessment rate of 80%. For a property with a market value of $1,000,000 how much property tax is due?","$50,000 ","$800,000 ","$40,000 ","$4,000 ",None of these,3,2,Taxes and Assessments,1,1
"The city sets a tax rate of 5% and an assessment rate of 50%. For a property with a market value of $1,000,000 how much property tax is due?","$50,000 ","$500,000 ","$25,000 ","$505,000 ",None of these,3,2,Taxes and Assessments,,
"The city sets a tax rate of 6% and an assessment rate of 40%. For a property with a market value of $1,000,000 how much property tax is due?","$60,000 ","$400,000 ","$24,000 ","$6,000 ",None of these,3,2,Taxes and Assessments,,
"The city sets a tax rate of 5% and an assessment rate of 30%. For a property with a market value of $2,000,000 how much property tax is due?","$10,000 ","$60,000 ","$30,000 ","$1,400,000 ",None of these,3,2,Taxes and Assessments,,1
"Property tax due for the year $30,000 on a property with market value of $2,000,000 with a 30% assessment rate. How much is the tax rate?",10%,1%,2%,5%,Cannot be computed,4,3,Taxes and Assessments,,
"Property tax due for the year $24,000 on a property with market value of $1,000,000 with a 40% assessment rate. How much is the tax rate?",3%,6%,8%,24%,Cannot be computed,2,3,Taxes and Assessments,,
"Property tax due for the year $25,000 on a property with market value of $1,000,000 with a 50% assessment rate. How much is the tax rate?",5%,10%,25%,4%,2.50%,1,3,Taxes and Assessments,,
"Property tax due for the year $30,000 on a property with a 30% assessment rate. How much is the tax rate?",10%,15%,20%,3%,Cannot be computed,5,3,Taxes and Assessments,,
"Property tax due for the year $60,000 on a property with a 20% assessment rate. How much is the tax rate?",6%,12%,2%,3%,Cannot be computed,5,3,Taxes and Assessments,,
"Property tax due for the year $47,788 on a property with a 40% assessment rate. How much is the tax rate?",4.78%,40.78%,2.70%,1.37%,Cannot be computed,5,3,Taxes and Assessments,,
"Holding all things constant, the higher the property tax assessment rate the",Lower the assessment value,Higher the tax due,Higher the tax rate,Lower the tax rate,Lower the tax due,2,3,Taxes and Assessments,,
"Holding all things constant, the lower the property tax assessment rate the",Lower the assessment value,Higher the tax due,Higher the tax rate,Lower the tax rate,Lower the tax due,1,3,Taxes and Assessments,,
"Holding all things constant, the lower the property tax rate the",Lower the assessment value,Higher the tax due,Higher the tax rate,Lower the tax rate,Lower the tax due,5,3,Taxes and Assessments,,
"Holding all things constant, the higher the property tax rate the",Lower the assessment value,Higher the tax due,Higher the tax rate,Lower the tax rate,Lower the tax due,2,3,Taxes and Assessments,,
"Holding all things constant, the higher the market value the",Lower the assessment value,Higher the tax due,Higher the tax rate,Lower the tax rate,Lower the tax due,2,3,Taxes and Assessments,1,1
"Holding all things constant, the lower the market value the",Lower the assessment value,Higher the tax due,Higher the tax rate,Lower the tax rate,Lower the tax due,5,3,Taxes and Assessments,,
The property tax assessment rate is set by,City tax assessor,City accountant,Tax advisor,Major's tax advisor,City planning,1,2,Taxes and Assessments,,
The property tax assessment rate is set by,None of these,City accountant,Tax advisor,Major's tax advisor,City planning,1,2,Taxes and Assessments,,
A mechanic's lien is typically filed by,A tradesman,Federal government,City engineering,A neighbor,Doctor,1,2,Easement and Liens,,
Bob is a plumber and fixes owner Frank's water heater. Bob then invoices Frank for the agreed cost of $875. Frank never pays. Bob can,Call the police,Condemn Frank's property,Start an eviction process,Start the seizin process,File a mechanic's lien,5,2,Easement and Liens,,
A mechanic's lien on a property would be paid off when,The property is sold,When the person filing the lien starts a foreclosure on the property,When the person filing the lien files for bankruptcy,When the owner of the property files for bankruptcy,When the owner renews title insurance,1,2,Easement and Liens,,
The property tax receiver's performs which of the following duties?,Assesses the tax rate,Determines the assessment rate,Assesses the assessment rate,Collects the tax,Rates the tax rate,4,1,Taxes and Assessments,,
Owners of which of the following types of buildings do NOT pay property tax?,Commercial,Retail,Industrial,Factory,Government,5,1,Taxes and Assessments,,1
Owners of which of the following types of properties do NOT pay property tax?,Residential,Condos,Co-ops,Beach front,Government,5,1,Taxes and Assessments,,
"In the context of real estate, steering is when",A broker guides buyers and tenants to or away from certain neighborhoods,A broker guides buyers and tenants to or away from certain neighborhoods based on buyer's income,A broker guides buyers and tenants to or away from certain neighborhoods based on buyer's commuting time requirements,A broker guides buyers and tenants to or away from certain neighborhoods based on buyer's race,A broker guides buyers and tenants to or away from certain neighborhoods based due to road conditions,4,2,Fair Housing,,
"Lesnar walks into agent Morty's office for the first time and states he is in the market to buy a house. Lesnar states ""I know exactly what neighborhood you should be in"". Lesnar could be guilty of which of the following?",Blockbusting,Steering,Redlining,Fraud,Misrepresentation,2,2,Fair Housing,,
"Agent Monica is driving her buyer client Allison to see some properties. On the way, Allison points at a house with interest and Allison responds ""You don't want to live there"". Allison could be guilty of",Blockbusting,Steering,Redlining,Fraud,Misrepresentation,2,2,Fair Housing,,
"In the context of real estate, steering occurs when",An agent steers a client away from certain neighborhoods based on race,An agent steers a client towards certain neighborhoods based on race,An agent steers a client to all neighborhoods,An agent steers a client away or toward certain neighborhoods based on race,An agent attempts to instill fear based on discrimination into owners to cause them to move out,4,2,Fair Housing,,1
An agent is blockbusting when they are,Attempting to instill fear based on discrimination into owners to cause them to move out,Attempting to disseminate information based on economic realities to buyers to cause them to buy,Attempting to disseminate information based on economic realities to buyers to cause them to buy,An agent steers a client away or toward certain neighborhoods based on race,Attempting to get exclusive listings for an entire city block,1,2,Fair Housing,1,1
"In the context of real estate, steering occurs when",An agent steers a client away from certain neighborhoods based on race,An agent steers a client towards certain neighborhoods based on race,An agent steers a client to all neighborhoods,None of these,An agent attempts to instill fear based on discrimination into owners to cause them to move out,4,2,Fair Housing,,
An agent is blockbusting when they are,None of these,Attempting to disseminate information based on economic realities to buyers to cause them to buy,Attempting to disseminate information based on economic realities to buyers to cause them to buy,Steering a client away or toward certain neighborhoods based on race,Attempting to get exclusive listings for an entire city block,1,2,Fair Housing,,
Agent Ben tells a potential seller that the neighborhood is changing fast and that it is the right time to move out. Ben could be guilty of,Blockbusting,Steering,Redlining,Fraud,Misrepresentation,1,2,Fair Housing,,
Agent Rex tells a potential seller that the neighborhood's demographic is not what it used to be and that it is the right time to move out. Rex could be guilty of,Blockbusting,Steering,Redlining,Fraud,Misrepresentation,1,2,Fair Housing,,
Redlining occurs when,Banks refuse mortgages in certain areas on discriminatory bases,An agent attempts to instill fear based on discrimination into owners to cause them to move out,Attempting to instill fear based on discrimination into owners to cause them to move out,Private investment companies avoid investing in certain neighborhoods,An area is marked off on a map using a red marker to identify new mortgage clients,1,2,Fair Housing,,
"Agent Marty walks into the office of mortgage broker Olivia. Behind Olivia is a large map with areas circled in red. Olivia states she won't do mortgages in those area because ""they"" don't deserve it. Agent Marty could be guilty of",Blockbusting,Steering,Redlining,Fraud,He's not guilty of anything,5,2,Fair Housing,,
"Agent Marty walks into the office of mortgage broker Olivia. Behind Olivia is a large map with areas circled in red. Olivia states she won't do mortgages in those area because ""they"" don't deserve it. Olivia is guilty of",Blockbusting,Steering,Redlining,Fraud,She's not guilty of anything,3,2,Fair Housing,,
"Broker Peter has an Italian buyer and, without confering with the buyer, proceeds to take the buyer to Italian neighborhoods only. Peter could be guilty of",Blockbusting,Steering,Redlining,Fraud,Wheeling,2,2,Fair Housing,,
Angela is of Indian descent and asks agent Yulia to shower her two family homes in Indian neighborhoods only. Yulia agrees. Angela could be guilty of,Blockbusting,Steering,Redlining,Fraud,She's not guilty of anything,5,2,Fair Housing,,
Angela is of Indian descent and asks agent Yulia to shower her two family homes in Indian neighborhoods only. Yulia agrees. Yulia could be guilty of,Blockbusting,Steering,Redlining,Fraud,She's not guilty of anything,5,2,Fair Housing,,
The R in R-factor stands for ,Radiation from heat,Resistence to heat loss,Revolutions per minute,Re-insulation,Resistence of electrical current,2,2,Construction,,
The R-factor of a material is a rating of,Insulating value,Insulation cost,Flow of air volume,Density of insulation,Thickness of insulation,1,2,Construction,,
The ability for insulation material to minimize heat loss is measured using,Air flow trap volatility,R-gain,R-factor,Implied resistence factor,Insulation score,3,2,Construction,,
R-value is computed by,Multiplying R-factor with the amount of the material,Adding R-factor with the amount of the material,Dividing R-factor with the amount of the material,Subtracting R-factor with the amount of the material,None of these,1,2,Construction,1,1
"If the R-factor for a material is 5 and there is 2lbs of it, the R-value is",2/5ths,10,2.5,40,20,2,2,Construction,,
"If a sheet of glass has an R-factor of 3 and is installed in a window frame in 3 layers, the R-value of the window is",1,3,1/3rd,9,1/9th,4,2,Construction,,
Radon can enter a home from,The roof,Sunlight through windows,Underground,Water system,Termite decay,3,2,Environmental Issues,,
"A commercial property generates of $100,000 of income a year and has a market value of $700,000. What is the capitalization rate?",14.29%,700%,"$600,000 ",16.67%,100%,1,2,Finance and Economics,,
"A commercial property generates of $200,000 of income a year and has a market value of $1,000,000. What is the capitalization rate?",10.00%,20%,25%,12.88%,22%,2,2,Finance and Economics,,
"A commercial property generates of $50,000 of income a year and has a market value of $350,000. What is the capitalization rate?",14.29%,700%,"$600,000 ",16.67%,100%,1,2,Finance and Economics,,1
"A commercial property generates of $1,200,000 of income a year and has a market value of $10,700,000. What is the capitalization rate?",11.21%,10%,22.42%,8.92%,9%,1,2,Finance and Economics,,
"A commercial property generates of $37,200 of income a year and has a market value of $100,000. What is the capitalization rate?",37.20%,0.037%,4%,4.10%,3.72%,5,2,Finance and Economics,,
"A commercial property generates of $10,000 of income a year and has a market value of $70,000. What is the capitalization rate?",14.29%,700%,"$600,000 ",16.67%,100%,1,2,Finance and Economics,,
"A commercial property generates no income and has a market value of $1,700,000. What is the capitalization rate?",1.70%,0%,3.40%,-100.00%,100%,2,2,Finance and Economics,,
"A commercial property has a cap rate of 7.3% and market value of $3,500,000. How much income does it generate annually?","$250,500","$255,500","$250,000","$22,000","$25,500",2,2,Finance and Economics,,
"A commercial property has a cap rate of 2.67% and market value of $280,000. How much income does it generate annually?","$8,968","$7,960","$7,690","$76,900","$67,900",3,2,Finance and Economics,,
"A commercial property has a cap rate of 5% and market value of $50,000. How much income does it generate annually?","$2,500","$5,200","$25,000","$52,000",$520,1,2,Finance and Economics,,
"A commercial property has a cap rate of 8% and market value of $347,000. How much income does it generate annually?","$2,800","$2,767","$26,670","$27,760","$2,776",4,2,Finance and Economics,1,1
"A commercial property has a cap rate of 9% and market value of $2,300,000. How much income does it generate annually?","$207,000","$20,700","$270,000","$2,700","$702,000",1,2,Finance and Economics,,
"A commercial property has a cap rate of 10% and income of $34,000 annually. What is its market value?","$3,400","$340,000","$34,000","$43,000","$403,000",3,2,Finance and Economics,,
"A commercial property has a cap rate of 12% and income of $180,000 annually. What is its market value?"," $5,100,000 "," $1,500,000 "," $51,000 "," $15,000 "," $1,500 ",2,2,Finance and Economics,,1
"A commercial property has a cap rate of 13% and income of $550,000 annually. What is its market value?"," $4,230,769 "," $4,320,769 "," $423,077 "," $42,307 "," $47,203 ",1,2,Finance and Economics,,
"A commercial property has a cap rate of 3% and income of $3,600,000 annually. What is its market value?"," $12,000 "," $120,000 "," $12,000,000 "," $1,200,000 "," $120,000,000 ",5,2,Finance and Economics,,
"A commercial property has a cap rate of 24.5% and income of $42,000,000 annually. What is its market value?"," $171,428,571 "," $174,278,571 "," $171,448,571 "," $171,482,571 "," $171,428,517 ",1,2,Finance and Economics,,1
The formula for computing the capitalization rate on an income producing property is, Income divided by market value , Market value divided by income , Market value divided by interest rate , Income multiplied by interest rate , None of the above ,1,2,Finance and Economics,,
The formula for computing the capitalization rate on an income producing property is, None of these , Market value divided by income , Market value divided by interest rate , Income multiplied by interest rate , Market rate multiplied by income ,1,2,Finance and Economics,,
The formula for computing the market value of an income producing property is,Income divided by the market value,Income divided by the capitalization rate,Income multiplied by the capitalization rate,Capitalization rate divided by the market value,Capitalization rate multiplied by the market value,2,2,Finance and Economics,,
The formula for computing the income of a property given a capitalization rate and market value is,Capitalization rate multiplied by the market value,Income divided by the capitalization rate,Income multiplied by the capitalization rate,Capitalization rate divided by the market value,Income divided by the market value,1,2,Finance and Economics,,
1 acre equals how many square feet?," 43,560 "," 34,650 "," 46,530 "," 34,560 "," 43,056 ",1,2,Real Estate Math,,
How many square feet are in 1 acre?," 43,560 "," 34,650 "," 46,530 "," 34,560 "," 43,056 ",1,2,Real Estate Math,,
How many square feet are in 1 acre?," 43,560 "," 34,650 "," 46,530 "," 34,560 "," 43,056 ",1,2,Real Estate Math,,
Yolanda buys an acre of land for $3 per square foot. How much did she pay?,"$43,560","$130,680","$168,300","$34,650","$130,860",2,2,Real Estate Math,1,1
"Jamal bought land at $4.50 per square foot. He paid $98,010 for the land. How many acres did he purchase?",Half,One,One a half,Two,2.78 acres,1,2,Real Estate Math,,
"Porter purchased three quarters of an acre for $49,005. How much did he pay per square foot?",$3.75,$1.50,$15.00,$0.15,$1.00,2,2,Real Estate Math,,1
In what type of water supply can radon be found?,Water wells,Cooled water,Iced water,Sewage water,Waste water,1,2,Environmental Issues,,
Radon can be found in what type of water supply?,Water wells,Chilled water,Air conditioner vent,Sewage water,Waste water,1,2,Environmental Issues,,
"Linda bought land for $1 per square foot. She paid $43,560 for it. How many acres did she purchase?",43560,1,2,34560,4,2,2,Real Estate Math,,
Nadia bought 2 acres of land at $2 per square foot. How much did she pay in total?,"$43,560","$87,210","$174,240","$45,360","$174,204",3,2,Real Estate Math,,
7 acres is how many square feet?," 309,240 "," 87,120 "," 70,000 "," 304,920 "," 280,233 ",4,2,Real Estate Math,,
"How many acres is 87,210 square feet?",3,2.5,1.5,1,2,5,2,Real Estate Math,,
Muhummad bought 3.5 acres of land at $1.25 per square feet. How much did he pay in total?,15557,190575,19575,1905.75,121968,2,2,Real Estate Math,,
Which agent is responsible for protecting wetlands?,New York State Department of Health,Army Corps of Engineers,New York Board of Water,New York Department of Finance,New York Department of Buildings,2,2,Environmental Issues,,
The Army Corps of Engineer is responsible for protecting,Trailer parks,Highways,New construction buildings,Wetlands,Sewage system,4,2,Environmental Issues,,
Which agent is responsible for protecting wetlands?,New York State Department of Health,None of these,New York Board of Water,New York Department of Finance,New York Department of Buildings,2,2,Environmental Issues,,
The Army Corps of Engineer is responsible for protecting,Trailer parks,Highways,New construction buildings,None of these,Sewage system,4,2,Environmental Issues,,
"Which of the following agencies is responsible for water, wells and sewage?",New York State Department of Health,Army Corps of Engineers,New York Board of Water,New York Department of Finance,New York Department of Buildings,1,2,Environmental Issues,1,1
"Which of the following agencies is responsible for water, wells and sewage?",None of these,Army Corps of Engineers,New York Board of Water,New York Department of Finance,New York Department of Buildings,1,2,Environmental Issues,,
The agency responsible for drilling wells is,New York Board of Water,Army Corps of Engineers,New York State Department of Health,New York Department of Finance,New York Department of Buildings,3,2,Environmental Issues,,1
The New York State Department of Health is responsible for,Water and wells,Infectious disease R&D,Doctor certification,Ambulance regulation,Air traffic control,1,2,Environmental Issues,,
A unilateral contract is one where,None of these,Only one side signs,Nobody signs,One signs but both must perform,Only one side needs to perform,5,2,Contracts,,
A bilateral contract is one where,Both sides sign,Both sides need to perform,One side needs to perform,One side has the option of performing and the other must,Both sides have the option of performing,2,2,Contracts,,
The purchase of a home in cash is an example of what type of contract?,Fee simple absolute,Unilateral,Bilateral,Transactive,Transient,3,2,Contracts,,
Walter signs a lease on an apartment that has the option to buy. The option to  buy is an example of what type of contract,Adverse possession,Constructive eviction,Unilateral contract,Habendum clause,Hypothecation clause,3,2,Contracts,,
Mark promises to pay $200 if anyone can find his cat Belinda. This type of contract is BEST known as,Open,Exclusive agency,Animal welfare,Unilateral,Adverse repossession,4,2,Contracts,,
Mark promises to pay George $200 to search for his cat Belinda for the next two hours. This type of contract is BEST known as,Bilateral,Unilateral,Conveyance,Possession,Search costs,1,2,Contracts,,1
An option is what type of contract?,Bilateral,Unilateral,Conveyance,Possession,Search costs,1,2,Contracts,,
"The difference between a bilateral and unilateral contract, respectively, is",Both sides need to sign vs. both sides need to perform,Both sidesneed to sign vs only sides needs to sign,Both sides need to sign vs. only one side can cancel,Both sides need to perform vs. only one side needs to perform,Both sides can cancel vs. only one side can cancel,4,2,Contracts,,
Misrepresentation is the act of,Entering into a dual agency,Forgetting to have the agency disclosure form signed by the client,Accidentally representing the customer instead of the client,Providing false or misleading information,Not being loyal to any party in a dual agency,4,2,Contracts,,
